unit_id,unit_name,date,customers,arr,mrr,churn_rate_pct,nrr_pct,pipeline,win_rate_pct,avg_deal_size,dso_days,cac,ltv,ltv_cac_ratio,employee_satisfaction
2,Enterprise Sales,2024-07-01,66,,,,,34834361.13908299,30.3,130924.89562754967,44.5,12780.17,71136.85,5.57,6.2
2,Enterprise Sales,2024-08-01,114,,,,,24430995.1283657,31.2,129543.22478728014,53.2,11589.03,52245.11,4.51,7.0
2,Enterprise Sales,2024-09-01,53,,,,,21216508.149890117,29.8,105121.29408844204,48.7,9902.69,74750.49,7.55,6.1
2,Enterprise Sales,2024-10-01,60,,,,,26442236.394926522,26.5,84464.3691228792,47.5,10853.65,71208.22,6.56,6.6
2,Enterprise Sales,2024-11-01,126,,,,,30611136.748626493,29.5,120407.00936514846,37.0,12017.79,87296.82,7.26,7.0
2,Enterprise Sales,2024-12-01,148,,,,,31026704.567795977,33.7,107255.24562497897,52.8,9138.14,65219.75,7.14,6.6
3,Cloud Infrastructure,2024-01-01,198,16088457.329943232,1340704.7774952694,1.63,113.8,,,,54.1,11868.21,63748.19,5.37,7.6
3,Cloud Infrastructure,2024-02-01,193,11449340.962880975,954111.7469067479,1.19,121.1,,,,51.2,10563.71,62667.35,5.93,8.3
3,Cloud Infrastructure,2024-03-01,318,37206421.818487,3100535.1515405835,1.82,123.1,,,,53.8,9229.37,69951.4,7.58,7.6
3,Cloud Infrastructure,2024-04-01,297,32682179.709372908,2723514.9757810757,1.7,118.7,,,,39.3,11567.36,47671.7,4.12,7.7
3,Cloud Infrastructure,2024-05-01,434,37652149.596706204,3137679.13305885,2.53,118.6,,,,51.1,13451.55,105900.47,7.87,8.7
3,Cloud Infrastructure,2024-06-01,464,54518919.40400929,4543243.2836674405,2.11,119.1,,,,48.2,11934.71,37531.88,3.14,7.9
3,Cloud Infrastructure,2024-07-01,308,43783355.64782172,3648612.9706518096,1.7,112.7,,,,37.9,11573.45,38747.05,3.35,8.6
3,Cloud Infrastructure,2024-08-01,165,9764001.770398347,813666.8141998622,2.06,115.6,,,,44.1,6574.09,29965.94,4.56,8.0
3,Cloud Infrastructure,2024-09-01,440,48233845.977024056,4019487.1647520047,2.77,112.3,,,,50.1,5497.62,18735.4,3.41,8.2
3,Cloud Infrastructure,2024-10-01,367,36173784.56949957,3014482.047458297,1.88,114.1,,,,50.1,6138.18,31608.95,5.15,7.9
3,Cloud Infrastructure,2024-11-01,497,54328772.24449551,4527397.687041293,2.05,114.6,,,,39.4,14844.46,48599.41,3.27,7.8
3,Cloud Infrastructure,2024-12-01,258,32697617.804561984,2724801.483713499,2.53,114.3,,,,37.4,9973.85,51398.01,5.15,7.7
4,Mobile Products,2024-01-01,186,22388285.498917542,1865690.4582431286,6.0,103.3,,,,80.2,5720.75,41811.98,7.31,6.1
4,Mobile Products,2024-02-01,54,5182672.951923885,431889.4126603238,4.31,98.1,,,,70.7,9044.23,56080.63,6.2,6.4
4,Mobile Products,2024-03-01,153,7969105.353078657,664092.1127565547,5.3,103.0,,,,75.5,13320.26,101218.63,7.6,6.1
4,Mobile Products,2024-04-01,77,5723536.85613505,476961.4046779208,6.36,100.2,,,,69.9,8102.75,38063.19,4.7,6.5
4,Mobile Products,2024-05-01,93,5360328.210499097,446694.01754159137,6.53,100.3,,,,64.8,12762.28,60691.02,4.76,7.4
4,Mobile Products,2024-06-01,87,6405538.985836501,533794.9154863751,4.59,97.0,,,,75.1,12602.15,79110.58,6.28,6.3
4,Mobile Products,2024-07-01,176,16965574.005829144,1413797.8338190953,6.25,100.8,,,,77.0,13820.48,85893.73,6.21,7.5
4,Mobile Products,2024-08-01,132,18008058.74777469,1500671.5623145576,6.51,96.5,,,,61.7,9422.08,42532.23,4.51,6.4
4,Mobile Products,2024-09-01,64,5452430.22476849,454369.18539737415,4.3,99.6,,,,60.9,8687.38,38531.86,4.44,7.0
4,Mobile Products,2024-10-01,73,8139561.235433687,678296.769619474,6.03,99.6,,,,73.9,12918.18,96620.01,7.48,6.7
4,Mobile Products,2024-11-01,196,22576014.111112755,1881334.5092593962,5.29,99.8,,,,63.8,5618.74,19763.96,3.52,7.3
4,Mobile Products,2024-12-01,137,20308682.460979544,1692390.2050816286,4.34,101.5,,,,61.0,12076.22,96065.46,7.95,6.8
5,Professional Services,2024-01-01,128,,,,,,,,38.2,8728.52,38531.77,4.41,6.6
5,Professional Services,2024-02-01,93,,,,,,,,48.6,5523.66,33994.96,6.15,6.5
5,Professional Services,2024-03-01,92,,,,,,,,36.9,11783.79,52093.03,4.42,7.1
5,Professional Services,2024-04-01,134,,,,,,,,54.3,11027.01,41371.86,3.75,6.1
5,Professional Services,2024-05-01,134,,,,,,,,37.8,8498.21,66613.05,7.84,7.0
5,Professional Services,2024-06-01,100,,,,,,,,37.6,12088.34,41385.58,3.42,6.8
5,Professional Services,2024-07-01,132,,,,,,,,50.8,13131.85,83394.88,6.35,7.2
5,Professional Services,2024-08-01,144,,,,,,,,54.9,14124.48,48973.31,3.47,7.0
5,Professional Services,2024-09-01,115,,,,,,,,42.2,8625.98,33652.65,3.9,6.3
5,Professional Services,2024-10-01,148,,,,,,,,44.7,7265.43,26793.65,3.69,6.1
5,Professional Services,2024-11-01,150,,,,,,,,37.0,12708.75,91192.88,7.18,7.3
5,Professional Services,2024-12-01,54,,,,,,,,48.2,13763.93,83824.49,6.09,6.9
6,Data Analytics,2024-01-01,89,5894000.187587209,491166.6822989341,7.33,102.7,,,,51.2,6655.39,34530.61,5.19,6.6
6,Data Analytics,2024-02-01,110,16165474.637494873,1347122.886457906,6.44,102.5,,,,50.7,7340.03,30797.61,4.2,7.4
6,Data Analytics,2024-03-01,170,23867563.748336792,1988963.6456947327,4.78,101.8,,,,46.4,9405.97,64404.52,6.85,7.2
6,Data Analytics,2024-04-01,178,18288784.23461439,1524065.3528845327,7.87,103.2,,,,51.0,6383.99,27132.04,4.25,7.0
6,Data Analytics,2024-05-01,145,15290840.808654252,1274236.734054521,4.41,103.5,,,,52.0,7850.63,53506.63,6.82,6.4
6,Data Analytics,2024-06-01,181,11717010.673448037,976417.5561206698,5.75,104.5,,,,39.4,9511.28,45158.85,4.75,6.0
6,Data Analytics,2024-07-01,63,5647659.982462561,470638.33187188004,5.5,98.9,,,,36.6,7245.39,33281.14,4.59,6.1
6,Data Analytics,2024-08-01,135,17433638.606009375,1452803.217167448,4.55,97.9,,,,51.6,11960.72,44182.46,3.69,7.1
6,Data Analytics,2024-09-01,164,18291711.41748219,1524309.2847901825,7.62,95.2,,,,39.3,6495.2,50020.35,7.7,6.9
6,Data Analytics,2024-10-01,158,9656752.393122965,804729.3660935805,5.15,98.0,,,,36.0,9198.26,64107.2,6.97,6.7
6,Data Analytics,2024-11-01,78,10426164.220721614,868847.0183934678,6.0,100.4,,,,47.6,10750.47,70874.89,6.59,6.4
6,Data Analytics,2024-12-01,50,5574047.913879753,464503.99282331276,4.96,99.2,,,,48.3,5856.14,46106.98,7.87,6.1
7,API Platform,2024-01-01,419,43747034.1209846,3645586.1767487167,2.57,117.6,,,,35.4,13733.31,44189.3,3.22,8.1
7,API Platform,2024-02-01,341,25699473.902460154,2141622.8252050127,1.03,121.8,,,,41.9,12329.41,75718.42,6.14,8.7
7,API Platform,2024-03-01,320,20269106.87549965,1689092.2396249708,1.7,115.1,,,,47.9,13303.84,85456.03,6.42,9.0
7,API Platform,2024-04-01,395,44703565.986454345,3725297.165537862,2.62,110.9,,,,50.5,9576.8,42781.59,4.47,7.6
7,API Platform,2024-05-01,252,34921917.71757625,2910159.809798021,1.63,114.7,,,,43.0,13154.06,70597.83,5.37,7.6
7,API Platform,2024-06-01,481,33242075.018301114,2770172.9181917594,1.71,121.7,,,,52.3,8319.25,30135.43,3.62,8.1
7,API Platform,2024-07-01,354,44013092.77539459,3667757.7312828824,2.79,115.8,,,,54.5,9962.03,54667.82,5.49,8.9
7,API Platform,2024-08-01,415,31818908.875790577,2651575.739649215,1.17,116.4,,,,43.6,14950.98,58342.95,3.9,7.9
7,API Platform,2024-09-01,202,11717392.003714904,976449.3336429087,2.32,114.6,,,,47.1,9261.16,59723.6,6.45,8.0
7,API Platform,2024-10-01,171,20978526.166659858,1748210.5138883216,2.82,119.2,,,,43.7,11394.69,79277.31,6.96,7.6
7,API Platform,2024-11-01,493,56079368.11764661,4673280.676470551,1.73,122.0,,,,48.6,14527.89,53955.11,3.71,8.4
7,API Platform,2024-12-01,374,20001481.32086547,1666790.1100721227,1.13,121.7,,,,42.3,8828.54,51525.35,5.84,8.4
8,EMEA Sales,2024-01-01,136,,,,,28998451.37429588,28.7,108295.44668817025,36.5,6376.95,30830.96,4.83,6.5
8,EMEA Sales,2024-02-01,85,,,,,24992233.06186796,26.1,130175.61446095708,45.0,8869.87,51519.45,5.81,6.4
8,EMEA Sales,2024-03-01,83,,,,,34080756.22413652,27.1,120890.7887072732,48.9,14986.29,59958.52,4.0,6.2
8,EMEA Sales,2024-04-01,59,,,,,29040853.704907946,34.0,108383.33945568412,36.8,11819.29,85425.19,7.23,6.5
8,EMEA Sales,2024-05-01,94,,,,,34190809.73639176,30.5,96777.17120833602,41.0,6575.05,43052.25,6.55,7.1
8,EMEA Sales,2024-06-01,72,,,,,35873927.67690006,30.1,84102.18413088427,39.0,6388.77,44413.86,6.95,6.0
8,EMEA Sales,2024-07-01,120,,,,,31445548.14233052,29.7,148725.89682320892,37.6,13842.46,46077.97,3.33,6.6
8,EMEA Sales,2024-08-01,141,,,,,34377393.19781439,30.3,132687.34127810237,51.5,5737.51,45107.7,7.86,7.0
8,EMEA Sales,2024-09-01,107,,,,,29316663.992421176,30.2,84625.09580587604,51.6,10513.03,62436.18,5.94,7.2
8,EMEA Sales,2024-10-01,66,,,,,28652365.729639497,34.1,79155.96375133329,37.5,6530.15,24966.64,3.82,6.5
8,EMEA Sales,2024-11-01,140,,,,,24509405.694309335,34.5,113917.33450531545,40.7,5788.6,23047.36,3.98,7.4
8,EMEA Sales,2024-12-01,85,,,,,22503405.902538054,28.0,115010.85223262853,45.1,6686.36,51538.69,7.71,6.2
9,Customer Success,2024-01-01,134,,,,,,,,47.5,14020.01,65727.17,4.69,7.4
9,Customer Success,2024-02-01,55,,,,,,,,51.5,5283.73,17052.25,3.23,7.0
9,Customer Success,2024-03-01,123,,,,,,,,40.3,7108.08,41658.25,5.86,6.9
9,Customer Success,2024-04-01,53,,,,,,,,45.0,11271.64,50140.29,4.45,7.4
9,Customer Success,2024-05-01,111,,,,,,,,39.9,13073.49,65765.72,5.03,6.7
9,Customer Success,2024-06-01,138,,,,,,,,36.2,9396.05,50938.42,5.42,6.3
9,Customer Success,2024-07-01,127,,,,,,,,37.9,13614.85,62581.78,4.6,7.5
9,Customer Success,2024-08-01,94,,,,,,,,54.5,6307.66,30609.2,4.85,6.8
9,Customer Success,2024-09-01,90,,,,,,,,39.8,6225.22,32669.83,5.25,6.2
9,Customer Success,2024-10-01,56,,,,,,,,40.8,8841.5,53728.79,6.08,6.4
9,Customer Success,2024-11-01,70,,,,,,,,51.3,14337.52,94708.5,6.61,6.3
9,Customer Success,2024-12-01,70,,,,,,,,45.0,10147.25,55746.94,5.49,6.5
10,IoT Division,2024-01-01,52,,,,,,,,62.3,8932.42,47218.15,5.29,6.4
10,IoT Division,2024-02-01,124,,,,,,,,68.8,5505.4,30139.17,5.47,7.3
10,IoT Division,2024-03-01,133,,,,,,,,76.8,7857.48,23893.72,3.04,6.2
10,IoT Division,2024-04-01,67,,,,,,,,82.1,12275.08,83707.26,6.82,6.5
10,IoT Division,2024-05-01,101,,,,,,,,61.3,10618.17,51101.2,4.81,6.4
10,IoT Division,2024-06-01,99,,,,,,,,72.6,12644.04,55616.12,4.4,7.5
10,IoT Division,2024-07-01,137,,,,,,,,75.3,6286.63,21898.91,3.48,6.6
10,IoT Division,2024-08-01,93,,,,,,,,73.9,8656.06,32212.13,3.72,6.9
10,IoT Division,2024-09-01,101,,,,,,,,72.5,5453.03,20095.42,3.69,6.5
10,IoT Division,2024-10-01,110,,,,,,,,73.0,6489.41,48447.69,7.47,6.2
10,IoT Division,2024-11-01,128,,,,,,,,68.0,8929.55,54313.98,6.08,7.3
10,IoT Division,2024-12-01,125,,,,,,,,68.4,13282.89,75203.75,5.66,7.1
11,Security Products,2024-01-01,126,12283646.75997522,1023637.2299979349,4.07,98.3,,,,37.2,9165.4,41596.16,4.54,7.3
11,Security Products,2024-02-01,56,6142693.849337885,511891.1541114904,5.06,101.6,,,,54.4,10784.74,44624.21,4.14,6.1
11,Security Products,2024-03-01,172,11532807.46204254,961067.288503545,6.52,101.2,,,,51.8,6477.76,41481.19,6.4,6.0
11,Security Products,2024-04-01,78,5388117.757050033,449009.8130875027,5.76,99.2,,,,43.3,7038.92,38778.08,5.51,6.9
11,Security Products,2024-05-01,170,23337901.051509447,1944825.0876257874,6.94,95.6,,,,37.8,7073.42,32716.31,4.63,7.0
11,Security Products,2024-06-01,184,16133575.8818168,1344464.6568180667,7.83,99.6,,,,45.7,10462.73,66745.36,6.38,7.3
11,Security Products,2024-07-01,117,12987895.986921394,1082324.6655767828,4.77,97.5,,,,46.2,7248.67,57007.55,7.86,6.4
11,Security Products,2024-08-01,123,14820281.52308998,1235023.4602574983,6.76,99.9,,,,44.6,10604.88,81365.14,7.67,7.1
11,Security Products,2024-09-01,123,7649051.500512396,637420.958376033,6.71,98.8,,,,54.6,13183.77,102478.06,7.77,7.2
11,Security Products,2024-10-01,124,6721624.436725796,560135.3697271497,7.82,95.8,,,,53.5,11559.72,77874.28,6.74,6.3
11,Security Products,2024-11-01,187,14420181.901362147,1201681.8251135123,6.25,97.7,,,,37.2,12408.91,52072.88,4.2,6.1
11,Security Products,2024-12-01,185,13424925.45621078,1118743.7880175652,4.93,96.0,,,,41.6,9724.04,62291.8,6.41,6.2
12,APAC Sales,2024-01-01,120,,,,,39558214.23666175,26.6,123966.95982759749,52.6,9757.0,61007.51,6.25,7.1
12,APAC Sales,2024-02-01,86,,,,,26423354.042383336,31.5,143095.27190517168,36.8,10741.33,60965.25,5.68,7.1
12,APAC Sales,2024-03-01,54,,,,,38264594.51339705,26.8,141168.3729873625,38.5,14196.35,113370.03,7.99,6.6
12,APAC Sales,2024-04-01,113,,,,,23726232.638449777,32.5,140421.80139163864,40.8,5374.66,24142.77,4.49,6.9
12,APAC Sales,2024-05-01,92,,,,,25691233.047000926,34.9,115747.53626677312,44.9,14385.61,104371.86,7.26,6.7
12,APAC Sales,2024-06-01,74,,,,,36176277.564860396,28.3,129833.94253565806,48.0,12185.98,37416.09,3.07,6.5
12,APAC Sales,2024-07-01,87,,,,,31355624.44841879,32.6,88162.11853788485,52.1,13970.43,99678.29,7.13,6.8
12,APAC Sales,2024-08-01,61,,,,,28016664.932557322,26.0,148626.3894330404,44.5,14358.25,43565.1,3.03,6.6
12,APAC Sales,2024-09-01,107,,,,,35075133.03562914,34.5,97645.93797687111,49.5,5114.36,32058.92,6.27,7.0
12,APAC Sales,2024-10-01,57,,,,,33355722.295973428,29.7,86978.76189206724,48.7,14231.06,105864.96,7.44,7.2
12,APAC Sales,2024-11-01,138,,,,,22348314.916895527,34.2,97127.82001171852,47.3,7191.29,26376.51,3.67,6.2
12,APAC Sales,2024-12-01,145,,,,,39776759.23790618,28.7,127645.55451417406,53.3,12573.51,88139.96,7.01,7.2
